,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
0,-119.25,35.77,35.0,1618.0,378.0,1449.0,398.0,1.6786,INLAND,56500.0
1,-119.65,36.35,21.0,1745.0,266.0,837.0,292.0,4.3911,INLAND,107900.0
2,-120.02,39.24,32.0,1347.0,444.0,825.0,303.0,1.8269,INLAND,225000.0
3,-118.25,33.79,32.0,1205.0,340.0,1799.0,370.0,2.375,NEAR OCEAN,128000.0
4,-117.58,33.92,16.0,4157.0,586.0,2036.0,594.0,6.155,INLAND,246400.0
5,-118.29,34.06,42.0,3894.0,2293.0,6846.0,2156.0,1.5553,<1H OCEAN,70000.0
6,-119.76,36.75,39.0,2233.0,563.0,2031.0,491.0,1.8641,INLAND,50800.0
7,-121.53,38.61,5.0,8149.0,1913.0,2933.0,1616.0,3.6788,INLAND,178800.0
8,-115.56,32.79,20.0,2372.0,835.0,2283.0,767.0,1.1707,INLAND,62500.0
9,-118.37,34.06,52.0,1608.0,289.0,630.0,252.0,5.5596,<1H OCEAN,500001.0
10,-121.46,38.63,26.0,3185.0,658.0,2444.0,626.0,1.56,INLAND,67600.0
11,-118.33,34.19,46.0,2115.0,463.0,1133.0,439.0,3.7344,<1H OCEAN,222000.0
12,-117.09,34.22,16.0,1347.0,327.0,271.0,91.0,4.0,INLAND,87500.0
13,-117.13,33.13,17.0,3164.0,652.0,1123.0,699.0,2.082,<1H OCEAN,80000.0
14,-120.83,37.76,21.0,435.0,96.0,219.0,83.0,2.9125,INLAND,112500.0
15,-117.87,33.71,13.0,1087.0,340.0,817.0,342.0,3.5326,<1H OCEAN,262500.0
16,-122.27,37.54,15.0,2126.0,310.0,905.0,306.0,8.9083,NEAR BAY,500001.0
17,-117.34,33.98,10.0,17286.0,4952.0,9851.0,4616.0,1.7579,INLAND,103400.0
18,-122.14,37.76,34.0,1513.0,231.0,545.0,211.0,5.5701,NEAR BAY,252800.0
19,-118.33,33.79,29.0,4389.0,873.0,2069.0,901.0,4.1071,<1H OCEAN,365600.0
20,-122.47,37.75,46.0,3238.0,544.0,1293.0,470.0,6.1592,NEAR BAY,381700.0
21,-121.87,37.42,25.0,4430.0,729.0,2685.0,721.0,5.6965,<1H OCEAN,261100.0
22,-118.34,34.11,40.0,5485.0,1242.0,2034.0,1133.0,3.6974,<1H OCEAN,500001.0
23,-117.99,34.0,26.0,2988.0,397.0,1371.0,415.0,6.6988,<1H OCEAN,382500.0
24,-118.2,34.09,39.0,1594.0,430.0,1668.0,378.0,2.5343,<1H OCEAN,138200.0
25,-117.77,34.07,29.0,2976.0,662.0,2452.0,633.0,3.0638,INLAND,113600.0
26,-117.36,33.2,26.0,2447.0,482.0,1405.0,486.0,3.2917,NEAR OCEAN,150800.0
27,-121.31,38.0,19.0,908.0,158.0,306.0,154.0,3.9792,INLAND,131900.0
28,-114.31,34.19,15.0,5612.0,1283.0,1015.0,472.0,1.4936,INLAND,66900.0
29,-121.53,39.19,27.0,2080.0,412.0,1082.0,382.0,2.5495,INLAND,98300.0
30,-121.81,37.23,16.0,1674.0,281.0,850.0,254.0,5.3157,<1H OCEAN,253300.0
31,-121.32,37.98,20.0,1591.0,589.0,1916.0,536.0,1.3531,INLAND,94600.0
32,-121.96,37.3,20.0,4228.0,1006.0,2334.0,1007.0,4.3081,<1H OCEAN,227300.0
33,-120.96,37.64,41.0,1467.0,328.0,673.0,310.0,2.7917,INLAND,90700.0
34,-118.39,34.17,40.0,1696.0,372.0,835.0,385.0,3.6563,<1H OCEAN,222400.0
35,-121.23,37.98,27.0,849.0,137.0,373.0,131.0,5.0362,INLAND,181300.0
36,-122.72,38.44,52.0,1059.0,281.0,627.0,273.0,1.5357,<1H OCEAN,137500.0
